               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.017778,              0.0174,           0.0015477,             0.94773,             0.95761,             0.97675,              0.8377,            0.013595,           0.0065725,          0.00054311,           0.0067101,           0.0067101,           0.0067101
                 126,            0.018126,            0.017293,           0.0013177,             0.96576,             0.94771,              0.9787,             0.84269,            0.013397,           0.0066056,           0.0004551,           0.0066647,           0.0066647,           0.0066647
                 127,            0.018053,            0.017017,           0.0015342,             0.96141,             0.96213,             0.97974,             0.83897,            0.013601,             0.00662,          0.00053895,           0.0066191,           0.0066191,           0.0066191
                 128,            0.017698,            0.017213,           0.0012844,             0.94627,             0.96117,             0.97237,             0.83521,              0.0134,           0.0065144,          0.00062853,           0.0065734,           0.0065734,           0.0065734
                 129,            0.017774,            0.017615,           0.0012852,             0.95433,             0.97098,             0.98099,             0.83891,            0.013137,           0.0064228,          0.00054022,           0.0065276,           0.0065276,           0.0065276
                 130,            0.017919,            0.017463,             0.00138,             0.96463,               0.949,             0.97903,             0.84148,            0.013071,            0.006483,          0.00049247,           0.0064816,           0.0064816,           0.0064816
                 131,            0.017907,            0.017528,           0.0017032,             0.95259,             0.95135,             0.97806,             0.83228,            0.013646,           0.0066615,          0.00046918,           0.0064356,           0.0064356,           0.0064356
                 132,            0.017704,            0.017034,           0.0015375,              0.9484,             0.96711,             0.97969,             0.83438,            0.013412,           0.0067034,          0.00090827,           0.0063895,           0.0063895,           0.0063895
                 133,            0.017902,            0.017402,           0.0013573,             0.94109,             0.96391,             0.97463,             0.83682,            0.013529,           0.0066456,          0.00051871,           0.0063432,           0.0063432,           0.0063432
                 134,            0.017844,            0.017035,            0.001624,             0.94858,             0.97385,             0.97958,             0.84412,            0.013357,           0.0064948,          0.00039667,           0.0062969,           0.0062969,           0.0062969
                 135,            0.017573,            0.017257,           0.0014609,             0.95568,             0.97422,             0.98103,             0.84468,            0.013312,           0.0063541,          0.00040954,           0.0062505,           0.0062505,           0.0062505
                 136,            0.017688,            0.016719,           0.0013191,             0.96031,             0.96536,             0.97822,             0.84419,            0.013198,           0.0064615,          0.00052848,            0.006204,            0.006204,            0.006204
                 137,            0.017958,            0.016952,           0.0013878,             0.95265,             0.95876,             0.97533,             0.84034,            0.013261,           0.0065935,          0.00045777,           0.0061574,           0.0061574,           0.0061574
                 138,            0.017663,            0.017296,           0.0015065,             0.95874,              0.9689,             0.97989,             0.84745,            0.012904,           0.0065937,          0.00041842,           0.0061107,           0.0061107,           0.0061107
                 139,            0.017875,            0.017043,           0.0014359,             0.94626,             0.97433,             0.97874,             0.83922,            0.013079,           0.0065664,          0.00042247,            0.006064,            0.006064,            0.006064
                 140,            0.017457,            0.017053,           0.0012542,             0.97499,             0.94899,             0.97979,             0.84352,            0.013104,           0.0064116,          0.00042396,           0.0060172,           0.0060172,           0.0060172
                 141,            0.017574,            0.016967,           0.0011989,             0.95343,             0.97097,              0.9795,             0.84804,             0.01306,           0.0063547,          0.00039589,           0.0059704,           0.0059704,           0.0059704
                 142,            0.017416,            0.016464,           0.0011486,              0.9661,              0.9613,             0.97992,              0.8511,            0.012937,           0.0063849,          0.00044485,           0.0059235,           0.0059235,           0.0059235
                 143,            0.017173,            0.017062,           0.0014857,             0.95329,             0.96764,             0.97937,             0.85271,            0.012867,           0.0064018,          0.00044499,           0.0058766,           0.0058766,           0.0058766
                 144,            0.017536,            0.017054,           0.0013666,             0.94647,             0.97709,             0.97973,             0.85262,            0.012958,           0.0064985,          0.00045939,           0.0058296,           0.0058296,           0.0058296
                 145,            0.017173,            0.016319,            0.001345,              0.9493,             0.96306,             0.97645,              0.8493,            0.013014,           0.0064664,           0.0004496,           0.0057826,           0.0057826,           0.0057826
                 146,            0.017244,            0.016348,           0.0013196,             0.95446,             0.96644,             0.97781,             0.85288,            0.013231,           0.0064767,          0.00044302,           0.0057355,           0.0057355,           0.0057355
                 147,            0.017104,            0.016468,           0.0012091,             0.95542,             0.96281,             0.97606,             0.84846,            0.012938,           0.0064112,          0.00056024,           0.0056884,           0.0056884,           0.0056884
                 148,            0.016933,            0.016224,           0.0013006,             0.97069,              0.9519,             0.97532,             0.85407,            0.012762,           0.0062568,          0.00045394,           0.0056413,           0.0056413,           0.0056413
                 149,            0.016706,            0.016327,           0.0011272,              0.9704,             0.95754,             0.97551,             0.85351,            0.012616,           0.0062946,           0.0004072,           0.0055942,           0.0055942,           0.0055942
                 150,            0.016862,            0.016415,           0.0011347,             0.95776,             0.96651,             0.97525,             0.85551,            0.012798,           0.0061969,          0.00039071,           0.0055471,           0.0055471,           0.0055471
                 151,            0.016793,            0.016176,           0.0011042,             0.94877,             0.97253,             0.97651,             0.85638,            0.012524,           0.0061428,          0.00039168,              0.0055,              0.0055,              0.0055
                 152,            0.016959,            0.015769,           0.0011506,             0.96825,             0.96506,             0.97896,             0.85591,            0.012514,           0.0061566,           0.0003727,           0.0054529,           0.0054529,           0.0054529
                 153,            0.016634,            0.016113,           0.0011568,              0.9589,             0.97624,             0.97797,             0.86061,            0.012505,           0.0061554,           0.0003424,           0.0054058,           0.0054058,           0.0054058
